n,poid_max,mean,dist_mean_poidMax,division_mean_poidMax,division_mean_std_poidMax,kurtosis,skewness,dist_max_poidMax,exec_time,solution,std,score,selected
785.0,536.0,244.87770700636943,291.12229299363065,0.4568613936685997,50.29629616304409,0.049941436743575984,1.1810230052613946,1.0,1.768678903579712,382.0,110.09093099148636,382.0,0
811.0,802.0,477.7090012330456,324.2909987669544,0.5956471337070395,111.43489008199415,-1.2462660268670602,0.01820639469816437,1.0,1.484140157699585,524.0,187.08205542512002,524.0,0
199.0,334.0,96.1356783919598,237.8643216080402,0.28783137243101736,15.710955029500287,4.154113355193563,1.1269793851289724,0.0,1.2924351692199707,59.0,54.583886727864005,59.0,0
109.0,188.0,53.65137614678899,134.348623853211,0.2853796603552606,8.726133204418346,2.4909621334712173,0.7504538169249503,0.0,1.2181899547576904,32.0,30.577277979641032,32.0,1
63.0,193.0,116.31746031746029,76.6825396825397,0.6026811415412452,23.192383608602466,-1.1408671751851536,-0.09274208520584183,4.0,1.1913230419158936,47.0,38.4820131409658,47.0,0
805.0,778.0,465.28944099378884,312.7105590062112,0.5980584074470293,106.03352867126999,-1.1667104054765935,0.03916266022397314,2.0,1.3871359825134275,523.0,177.2962763351195,523.0,0
806.0,299.0,138.13399503722084,160.86600496277916,0.4619866054756551,29.06381776397861,-0.040044254560513526,1.130490388246749,1.0,1.5872130393981934,401.0,62.910520390639704,401.0,0
795.0,581.0,272.7069182389937,308.2930817610063,0.4693750744216759,57.52569641985213,-0.03486152095670647,1.1581131829618214,3.0,1.6376571655273438,404.0,122.55805549694006,404.0,0
809.0,777.0,470.1273176761433,306.8726823238566,0.6050544629036594,108.88265462278349,-1.192992747704462,-0.012081214595380156,1.0,1.7178797721862793,532.0,179.95513015515178,532.0,0
805.0,797.0,472.0037267080745,324.9962732919255,0.5922255040251876,105.48716238587376,-1.1052991693316532,0.08135089737690536,1.0,1.9530847072601318,527.0,178.11992504359853,527.0,0
